gate_id,mode,name,equation,computed,threshold,unit,status,reason,fix,measured_in_this_system,source_directness,can_PASS_now,required_measurement,blocked_by,notes
E07,A (Baseline / Stabilization),Independent Per-Species Gas Delivery Lines (×5),5 lines installed; each leak-checked; each thermally anchored; conductance calibrated,0,5,,CONDITIONAL,"SPECIFIED:Yes  INSTALLED:No  VERIFIED:No. Status=CONDITIONAL. Design: 5 independent lines (¹³CH₄, H₂, ³He, ⁴He, purge). NOT INSTALLED. Valve leakage (1e-11 Pa·m³/s spec) gives P_CH4=1e-9 Pa in He-3 line steady-state (20,000× above target). Thermal anchoring at 77K+4K+1K+100mK not verified. Unanchored 1/4-inch tube from 100mK: 67,000 pW -> budget failure.",Install 5 independent SS lines. Leak-check each. Anchor at all stages. Verify conductance.,false,ASSUMED_OR_DESIGN_SPECIFIED,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
E08,A (Baseline / Stabilization),Shuttered Cryo-Baffle / Molecular Beam Shutter,shutter_installed=True; conductance model verified; beam flux calibrated,0,1,,CONDITIONAL,SPECIFIED:Yes  INSTALLED:No  VERIFIED:No. Status=CONDITIONAL. Design: 3-shutter stack + labyrinth geometry (1000× CH4 suppression). NOT INSTALLED. Conductance C_laby=1.61e-10 m³/s (calculated); not measured. Shutter closure suppression (100×) not verified. He-3 beam flux calibration not performed.,Fabricate shutter stack + labyrinth. Measure C_laby. Calibrate He-3 beam flux.,false,ASSUMED_OR_DESIGN_SPECIFIED,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
E09,A (Baseline / Stabilization),MW Attenuation and Thermal Anchoring (Thermocoax + RC filters),MW_thermal_anchored=True; P_mw at CPW verified <= 1nW,0,1,,CONDITIONAL,"SPECIFIED:Yes  INSTALLED:No  VERIFIED:No. Status=CONDITIONAL. Design: Thermocoax (100cm, 0.5mm OD) + Cu powder RC filters. P_mw=1 nW at CPW ASSUMED. NOT INSTALLED/MEASURED. Thermal anchoring at 4K and 100mK not verified. P_mw at CPW from room-temperature source not calibrated.",Install Thermocoax + RC filters. Calibrate P_mw at CPW. Measure thermal loads.,false,ASSUMED_OR_DESIGN_SPECIFIED,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
E10,A (Baseline / Stabilization),Vibration Isolation (Helmholtz geometry + pneumatic table),Helmholtz installed; S_vib at NV measured; dB/dz at NV measured,0,1,,CONDITIONAL,SPECIFIED:Yes  INSTALLED:No  VERIFIED:No. Status=CONDITIONAL. Design: Helmholtz coil geometry (near-zero gradient) + pneumatic isolation table. S_vib=1e-10 m²/Hz ASSUMED (Oxford Triton spec). NOT INSTALLED/MEASURED. dB/dz at NV not measured. Gamma_vib not experimentally bounded. Gradient coil (1 T/m) would give Gamma_vib=8862 rad/s >> delta_G (FAIL).,Install Helmholtz geometry. Measure S_vib and dB/dz at NV location.,false,ASSUMED_OR_DESIGN_SPECIFIED,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
E11,A (Baseline / Stabilization),Optical Collection Calibration (eta_col in cryostat),eta_col measured in cryostat; dark_frac verified < 20%,0,1,,BLOCKED,"SPECIFIED:No  INSTALLED:No  VERIFIED:No. Status=BLOCKED. eta_col=6.35% ASSUMED from room-temperature model (NA=0.9, 6 factors). NOT MEASURED in cryostat. Cryogenic window transmission not verified. SIL (solid immersion lens, F18) not installed. N_seq, N_ph computed from assumed eta_col — all detection SNR estimates provisional.",Calibrate eta_col in cryostat using known NV density. Verify dark_frac < 20%.,false,BLOCKED_PREREQUISITE,NO,see validation_matrix.csv,see status_reason,FORECAST_ONLY; can_PASS_now=NO
E12,A (Baseline / Stabilization),NV Charge-State Validation at 10mK (C_contr measurement),ODMR_10mK performed; C_contr > 0.05 confirmed,0,1,,BLOCKED,"SPECIFIED:No  INSTALLED:No  VERIFIED:No. Status=BLOCKED. C_contr at 10mK UNKNOWN. ODMR post-cryogenic cycle not performed. NV⁻ stability under 532 nm at 10mK not confirmed. If C_contr=0 (charge switching to NV⁰), detection is impossible regardless of tau_c. Co-equal bottleneck with tau_c.",ODMR measurement at 10mK after full Mode A/B/C cycle (F15). Report C_contr.,false,BLOCKED_PREREQUISITE,NO,see validation_matrix.csv,see status_reason,FORECAST_ONLY; can_PASS_now=NO
E13,A (Baseline / Stabilization),Rabi Calibration in Cryostat (Omega_R measurement),Omega_R measured in cryostat; tau_pi2 < T2*,0,1,,BLOCKED,SPECIFIED:No  INSTALLED:No  VERIFIED:No. Status=BLOCKED. Omega_R=139591 rad/s ASSUMED from CPW near-field formula. NOT MEASURED. tau_pi2=11.25 µs ~ T2*(bare)=10 µs: DEGRADED RAMSEY REGIME. Current P_mw=1nW gives tau_pi2>T2* — pulse dephasing C_eff=0.0105 (not 0.10). FIX: increase P_mw or use CPW resonator (Q~30) for tau_pi2 << T2*.,"Measure Rabi oscillations in cryostat. If tau_pi2>T2*, increase P_mw or add resonator.",false,BLOCKED_PREREQUISITE,NO,see validation_matrix.csv,see status_reason,FORECAST_ONLY; can_PASS_now=NO
E14,A (Baseline / Stabilization),Ramsey T2* and tau_c Measurement (He-3 vs He-4 control),tau_c measured on F-diamond at 10mK; T2* measured; tau_c > 292us confirmed,0,1,,BLOCKED,SPECIFIED:No  INSTALLED:No  VERIFIED:No. Status=BLOCKED. tau_c UNKNOWN on F-terminated diamond at 10mK. T2*(bare)=10µs ASSUMED. Not measured in this geometry. tau_c is the DOMINANT MC failure: 66.2% of failed samples. Combined threshold: tau_c > 292µs (SNR>5 + eps_thermo<1%). Fermi-liquid estimate from graphite (1-4ms) not validated for F-diamond.,Ramsey on He-3 film vs He-4 control at 10mK. Measure tau_c. Compare to 292µs threshold.,false,BLOCKED_PREREQUISITE,NO,see validation_matrix.csv,see status_reason,FORECAST_ONLY; can_PASS_now=NO
Shield-RAD,A (Baseline / Stabilization),Measured radiation load into 10 mK below Mode D budget,P_rad_10mK_measured < P_Mode_D_radiation_budget,0,1,,BLOCKED,"SPECIFIED:No  INSTALLED:No  VERIFIED:No. Status=BLOCKED. Radiation load into 10 mK region (W) is UNKNOWN. SHIELD-001 (4 K OFHC shutter), SHIELD-002 (labyrinth baffles), SHIELD-003 (three-shutter stack) are DESIGN_SPECIFIED only. SHIELD-004 (RF-tight can), SHIELD-006 (cold apertures), SHIELD-007 (cold beam dumps) are NOT_INSTALLED. No radiometric sample-stage heat-load measurement in this system.",Radiometric sample-stage heat load with full shutter stack closed; baffle thermometry; verify below Mode D budget.,false,BLOCKED_PREREQUISITE,NO,see validation_matrix.csv,see status_reason,FORECAST_ONLY; can_PASS_now=NO
Shield-RF,A (Baseline / Stabilization),Microwave/RF leakage below Mode D heat AND dephasing budget,(P_RF_10mK + P_blackbody_4K_via_lines) < P_Mode_D_RF_budget AND NV_dephasing_RF < dephasing_budget,0,1,,BLOCKED,SPECIFIED:No  INSTALLED:No  VERIFIED:No. Status=BLOCKED. RF/microwave leakage into 10 mK is UNKNOWN. SHIELD-004 RF-tight can NOT_INSTALLED. SHIELD-005 staged IR/HF filters with thermal anchoring NOT_INSTALLED. Filter terminations not characterized. No closed-can vs open-can NV ODMR/Ramsey baseline.,Install SHIELD-004 + SHIELD-005 with filters terminating inside the can; measure sample-stage heat load and NV dephasing budget.,false,BLOCKED_PREREQUISITE,NO,see validation_matrix.csv,see status_reason,FORECAST_ONLY; can_PASS_now=NO
Shield-OPT,A (Baseline / Stabilization),No direct optical line-of-sight to 10 mK and optical scatter below budget,LOS_300K_to_10mK = FALSE AND P_scatter_10mK < P_Mode_D_optical_budget,0,1,,BLOCKED,SPECIFIED:No  INSTALLED:No  VERIFIED:No. Status=BLOCKED. Optical line-of-sight audit not performed. SHIELD-006 nested cold optical apertures NOT_INSTALLED. SHIELD-007 thermally anchored cold beam dumps NOT_INSTALLED. fs-laser scatter memory and NV-readout stray light unbudgeted.,Install aperture chain (50 K -> 4 K -> 1 K -> 100 mK); cold beam dumps at 4 K or 1 K; LOS audit per optical_line_of_sight_audit.csv.,false,BLOCKED_PREREQUISITE,NO,see validation_matrix.csv,see status_reason,FORECAST_ONLY; can_PASS_now=NO
Shield-MAG,A (Baseline / Stabilization),"Magnetic noise reduced while NV bias field remains stable, calibrated, ODMR-compatible",B_noise_rms_reduced AND |delta_B_NV_bias| < tolerance AND ODMR_contrast_unchanged,0,1,,BLOCKED,SPECIFIED:No  INSTALLED:No  VERIFIED:No. Status=BLOCKED. Magnetic shielding NOT_INSTALLED. SHIELD-010 cryogenic high-permeability shielding pending. SHIELD-011 superconducting shield is OPTIONAL and adds trapped-flux risk. No NV ODMR/Ramsey baseline with shielding in/out.,Install SHIELD-010 layered shielding; field map with shield in/out; NV ODMR baseline before/after; verify bias-field geometry preserved.,false,BLOCKED_PREREQUISITE,NO,see validation_matrix.csv,see status_reason,FORECAST_ONLY; can_PASS_now=NO
Shield-CHEM,A (Baseline / Stabilization),Cryopanel/baffle/shutter stack prevents Mode B chemical memory from reaching Mode D,RGA_species_residual_at_C_to_D < Mode_D_threshold(species) AND QCM_mass_uptake < spec AND witness_coupon_clean,0,1,,BLOCKED,"SPECIFIED:No  INSTALLED:No  VERIFIED:No. Status=BLOCKED. SHIELD-008 dirty/clean dual shutter stack NOT_INSTALLED. SHIELD-009 sacrificial cryopanels NOT_INSTALLED. Cryopanel saturation and regeneration behaviour ASSUMED per species; see cryopanel_memory_model.csv for H2, CH4, hydrocarbons, H2O, CO, CO2, fragments. No through-cycle RGA/QCM/coupon data.",Install SHIELD-008 + SHIELD-009; through-cycle RGA + QCM + witness coupon for every species in cryopanel_memory_model.csv.,false,BLOCKED_PREREQUISITE,NO,see validation_matrix.csv,see status_reason,FORECAST_ONLY; can_PASS_now=NO
C_to_D_Readiness,A (Baseline / Stabilization),Composite: Mode D entry requires every Mode C readiness sub-condition satisfied,"ALL(thermal, vacuum, contamination, radiation, RF, optical, vibration, NV_baseline) within Mode D spec",0,1,,BLOCKED,"SPECIFIED:No  INSTALLED:No  VERIFIED:No. Status=BLOCKED. Composite mode-transition gate. None of the Mode C readiness sub-conditions (see mode_transition_acceptance_tests.csv row T-C2D) has been measured. Architecture is mode-separated and interlocked: Mode D sensing is NOT performed during Mode B processing. Mode D may begin only after Mode C isolation, purge, cryopumping/baffling, thermal recovery, contamination verification, radiation/RF/optical/vibration checks, and NV-baseline requalification.",Execute T-C2D coordinated measurement: thermal + vacuum + RGA + QCM + coupon + radiation + RF + LOS + vibration + NV ODMR/Ramsey baseline.,false,BLOCKED_PREREQUISITE,NO,see validation_matrix.csv,see status_reason,FORECAST_ONLY; can_PASS_now=NO
RTB_JT_OPTIONAL_COOLING_PLANT,A (Baseline / Stabilization),Optional 4-8 module RTB/JT-class upstream cooling plant (4 K / shield / cryobaffle / Mode B dump stage),RTB_JT_selected=true AND RTB_JT_installed=true AND lift_curves_measured AND derated_lift_meets_required_W AND vibration<budget AND EMI<budget AND Mode_D_isolation_demonstrated,0,1,,BLOCKED,"SPECIFIED:No  INSTALLED:No  VERIFIED:No. Status=BLOCKED. Optional upstream cooling plant. Baseline DESIGN_OPTION = 4 modules; redundant/derated DESIGN_OPTION = 8 modules. Not a 10 mK cooler and not a replacement for the dilution/mixing chamber. No RTB/JT module is selected, installed, integrated, or validated in QTA. Per-module lift curves, derated thermal-link conductance, vibration spectrum at sensitive interfaces, EMI coupling against NV/microwave/readout chain, heat rejection, and Mode D isolation are all UNKNOWN. External basis (Creare RTB/JT class, 1 kW at 100 K down to 300 mW at 10 K; 4 K targeted) is a feasibility reference only, not a QTA hardware claim. PASS requires explicit module selection, integration, and measured Mode D isolation.","(1) Obtain vendor lift curves at target stage temperatures. (2) Compute N_modules = ceil((P_ModeA_dump + P_parasitic + P_margin) * safety_factor / P_lift_per_module_derated), safety_factor 2-4 until measured. (3) Measure derated thermal-link performance after integration. (4) Measure vibration spectrum at QTA sample / optical path / Mode D interfaces. (5) Measure EMI coupling against NV/microwave/readout chain. (6) Demonstrate that RTB/JT operation does not raise Mode D thermal, vibration, RF, magnetic, or optical noise above budget.",false,BLOCKED_PREREQUISITE,NO,see validation_matrix.csv,see status_reason,FORECAST_ONLY; can_PASS_now=NO
THERMAL_1D_STABILITY_CHECK,B (Material Processing / LCVD Growth),1D thermal solver numerically stable,diffusion_sanity rel_err < 0.10 AND finite AND solver=ok,2.069e-05,0.10,,DERIVED_CHECK,1D PDE reproduces analytic diffusion decay; fields finite; BDF converged. Numerical self-consistency only (MODEL_ONLY); not hardware-validated.,Hardware thermometry of the NV-layer during Mode B to validate the model.,false,DERIVED_FIRST_PRINCIPLES,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
THERMAL_2D_STABILITY_CHECK,B (Material Processing / LCVD Growth),2D axisymmetric thermal solver stable,2D fields finite AND axis non-singular AND solver=ok,axis_finite=True,finite,,DERIVED_CHECK,2D axisymmetric FV solver produces finite fields with no r=0 singularity (MODEL_ONLY).,Hardware validation of 2D thermal profile.,false,DERIVED_FIRST_PRINCIPLES,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
THERMAL_1D_MESH_CONVERGENCE_CHECK,B (Material Processing / LCVD Growth),1D thermal mesh convergence,|NV_T(400)-NV_T(200)|/NV_T < 0.15,1.847e-04,0.15,,DERIVED_CHECK,NV-layer temperature changes <15% between n=200 and n=400 (MODEL_ONLY mesh refinement).,Confirm against measured profiles.,false,DERIVED_FIRST_PRINCIPLES,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
THERMAL_2D_MESH_CONVERGENCE_CHECK,B (Material Processing / LCVD Growth),2D thermal mesh convergence,|NVmax(fine)-NVmax(med)|/NVmax < 0.25,1.269e-04,0.25,,DERIVED_CHECK,2D NV-layer max temperature changes <25% between medium and fine mesh (MODEL_ONLY).,Confirm against measured 2D profile.,false,DERIVED_FIRST_PRINCIPLES,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
KAPITZA_BC_CHECK,B (Material Processing / LCVD Growth),Kapitza backside boundary sign-correct,T>Tf -> heat leaves; T<Tf -> heat enters,sign_correct=True,True,,DERIVED_CHECK,Backside Kapitza-radiative term cools when hotter than the fridge and warms when colder (MODEL_ONLY). alpha_K is ASSUMED.,Measure interfacial (Kapitza) conductance at 10 mK.,false,DERIVED_FIRST_PRINCIPLES,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
MOVING_BOUNDARY_MODEL_CHECK,B (Material Processing / LCVD Growth),Moving-boundary front model present,s(t)=s0+v_front*t implemented; Stefan-ready structure,implemented(v_front=0 first pass),implemented,,DERIVED_CHECK,Front position is integrated as s(t)=s0+v_front*t and the code is structured for a later Stefan condition. First pass uses v_front=0 (static front). MODEL_ONLY / FORECAST_ONLY.,Supply measured growth-front velocity / latent-heat data.,false,DERIVED_FIRST_PRINCIPLES,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
OPTICAL_ABSORPTION_PROFILE_CHECK,B (Material Processing / LCVD Growth),Optical absorption energy-conserving,int Q dV == absorbed power within tol (1D & 2D),1D rel=4.25e-04; 2D rel=6.60e-03,0.10,,DERIVED_CHECK,"Beer-Lambert (depth) x Gaussian (radial) deposition integrates to the absorbed power within tolerance (MODEL_ONLY). alpha, absorbed_fraction ASSUMED.","Measure absorption coefficient and absorbed fraction at 1030 nm, 10 mK.",false,DERIVED_FIRST_PRINCIPLES,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
GAS_TRANSPORT_STABILITY_CHECK,C (Isolation / Purge),Gas-transport PDE stable & finite,advection-diffusion-sink finite; non-negative; solver ok,finite_nonneg,finite,,DERIVED_CHECK,1D advection-diffusion-sink transport integrates stably with non-negative densities (MODEL_ONLY). Transport coefficients ASSUMED.,Measure species conductances / pumping speeds in the actual line.,false,DERIVED_FIRST_PRINCIPLES,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
LUMPED_MODEL_RETIRED_CHECK,B (Material Processing / LCVD Growth),Lumped model is comparator-only,non-lumped feeds gates; lumped only in comparison CSV,comparator_only,comparator_only,,DERIVED_CHECK,The legacy lumped thermal/gas estimate is retained ONLY in lumped_vs_nonlumped_comparison.csv as a regression sanity check; the non-lumped 1D/2D models are the gate authority (MODEL_ONLY).,N/A (bookkeeping check).,false,DERIVED_FIRST_PRINCIPLES,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
THREE_D_FUTURE_WORK_CHECK,ALL (multiphysics),3D multiphysics deferred (not faked),3D status == FUTURE_WORK/NOT_IMPLEMENTED; excluded from gates,FUTURE_WORK,FUTURE_WORK,,DERIVED_CHECK,3D solvers are explicitly NOT_IMPLEMENTED / FUTURE_WORK and are excluded from all physical gates. 1D (canonical) and 2D axisymmetric are the implemented non-lumped backends.,Implement real 3D solvers + verification + outputs before any 3D claim.,false,DERIVED_FIRST_PRINCIPLES,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
NV_LAYER_TEMPERATURE_CHECK,D (Sensing / Measurement),NV-layer recools for sensing,T_NV_layer(after Mode C) <= 50 mK,1.000e-02,5.000e-02,K,CONDITIONAL,Model forecasts the NV layer recools to base after Mode C. FORECAST_ONLY; REQUIRES_EXPERIMENT (NV thermometry). Not a validated result.,Measure NV-layer temperature post-recovery via ODMR thermometry.,false,ASSUMED_OR_DESIGN_SPECIFIED,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
HOTSPOT_MARGIN_CHECK,B (Material Processing / LCVD Growth),Mode B peak temperature within material margin,max_T(Mode B) below graphitization/damage margin,2.941e+01,DESIGN_MARGIN,K,CONDITIONAL,Reduced-order near-field model forecasts a peak temperature. The damage margin itself is ASSUMED; FORECAST_ONLY.,Measure local peak temperature / damage threshold under the actual pulse train.,false,ASSUMED_OR_DESIGN_SPECIFIED,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
POST_PULSE_DRIFT_CHECK,D (Sensing / Measurement),Post-recovery NV-layer drift small,post-pulse drift small over sensing window,1.681e-03,design,s,CONDITIONAL,Model forecasts the NV-layer temperature settles after Mode C. FORECAST_ONLY; REQUIRES_EXPERIMENT.,Measure temperature drift during the sensing window.,false,ASSUMED_OR_DESIGN_SPECIFIED,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
CRYOBAFFLE_CAPTURE_CHECK,C (Isolation / Purge),Cryobaffle captures process species,cryobaffle capture fraction adequate,ASSUMED_capture_profile,design,,CONDITIONAL,Capture probabilities are ASSUMED; the transport model uses them to forecast cleanup. FORECAST_ONLY.,Measure baffle capture efficiency for each species at temperature.,false,ASSUMED_OR_DESIGN_SPECIFIED,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
SURFACE_COVERAGE_DECAY_CHECK,D (Sensing / Measurement),Surface coverage decays before sensing,residual theta(after Mode C) < 1e-3,1.686e-10,1.0e-3,,CONDITIONAL,Langmuir model forecasts coverage decays during Mode C. Sticking and desorption energetics ASSUMED; FORECAST_ONLY; REQUIRES_EXPERIMENT.,Measure surface coverage (e.g. desorption spectroscopy) at 10 mK.,false,ASSUMED_OR_DESIGN_SPECIFIED,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
MICROWAVE_HEATING_PROFILE_CHECK,D (Sensing / Measurement),MW dissipation anchored away from NV,dissipated power at NV region within budget,path_distributed,design,,CONDITIONAL,Path-distributed attenuation model forecasts where MW power dissipates. Attenuations DESIGN_SPECIFIED; FORECAST_ONLY.,Measure attenuator heat loads and CPW termination dissipation at 10 mK.,false,ASSUMED_OR_DESIGN_SPECIFIED,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
RADIATION_VIEWFACTOR_CHECK,D (Sensing / Measurement),Radiation leakage to 10 mK bounded,sum q_ij reaching 10 mK within budget,view_factor_cascade,design,,CONDITIONAL,Staged view-factor cascade forecasts radiative load. Emissivities/view factors ASSUMED; FORECAST_ONLY.,Measure radiative heat load with shutter/baffle engaged.,false,ASSUMED_OR_DESIGN_SPECIFIED,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
VIBRATION_TRANSFER_CHECK,D (Sensing / Measurement),Vibration attenuated for sensing,NV-region amplitude below threshold; settled,banded_transfer,design,,CONDITIONAL,Banded transfer model forecasts vibration attenuation and settling. Transfer factors ASSUMED; FORECAST_ONLY.,Measure vibration spectrum at the sample mount.,false,ASSUMED_OR_DESIGN_SPECIFIED,NO,see validation_matrix.csv,N/A,FORECAST_ONLY; can_PASS_now=NO
RESIDUAL_SPECIES_MODE_D_CHECK,D (Sensing / Measurement),Residual process species cleared for Mode D,residual CH4/H2 at sample below sensing-safe level,CH4=0.00e+00; H2=2.60e+11,REQUIRES_MEASUREMENT,1/m^3,BLOCKED,Mode D sensing capability is itself BLOCKED (helium-isotope sensing not validated; Mode B feasibility not established). The transport model forecasts residuals but cannot be a PASS. FORECAST_ONLY.,Establish Mode B feasibility and validated Mode D sensing first; then measure residual partial pressures at the sample.,false,BLOCKED_PREREQUISITE,NO,see validation_matrix.csv,see status_reason,FORECAST_ONLY; can_PASS_now=NO
COUPLED_MODE_RECOVERY_CHECK,ALL (multiphysics),Full B->C->D recovery cycle viable,Mode D readiness from final distributed state,FORECAST_NOT_READY,REQUIRES_VALIDATION,,BLOCKED,"End-to-end recovery depends on unvalidated LCVD (Mode B) and unvalidated helium sensing (Mode D). The coupled model forecasts recovery (limiting process: surface_decay_s), but the full cycle cannot PASS pre-experiment. FORECAST_ONLY.","Validate Mode B and Mode D independently, then demonstrate a full cycle.",false,BLOCKED_PREREQUISITE,NO,see validation_matrix.csv,see status_reason,FORECAST_ONLY; can_PASS_now=NO
