gap_id,claim_or_parameter,current_status,why_gap_matters,affected_gate_or_risk,required_source_or_measurement,recommended_next_action
G109,mp_front_velocity (Moving-front velocity (static first pass; Stefan-ready structure)),ASSUMED / NO DIRECT MEASUREMENT,Reduced-order multiphysics input; affects forecast metrics feeding gate MOVING_BOUNDARY_MODEL_CHECK,MOVING_BOUNDARY_MODEL_CHECK,Measure growth-front velocity / supply latent-heat data,Measurement required before this parameter can carry a non-forecast status; no fabricated value used.
G110,mp_gas_D_CH4 (Effective axial diffusion of CH4 (molecular-flow surrogate)),ASSUMED / NO DIRECT MEASUREMENT,Reduced-order multiphysics input; affects forecast metrics feeding gate GAS_TRANSPORT_STABILITY_CHECK,GAS_TRANSPORT_STABILITY_CHECK,Measure CH4 conductance in the actual line,Measurement required before this parameter can carry a non-forecast status; no fabricated value used.
G111,mp_gas_v_eff (Effective species drift velocity toward the pump),ASSUMED / NO DIRECT MEASUREMENT,Reduced-order multiphysics input; affects forecast metrics feeding gate GAS_TRANSPORT_STABILITY_CHECK,GAS_TRANSPORT_STABILITY_CHECK,Measure net pumping drift,Measurement required before this parameter can carry a non-forecast status; no fabricated value used.
G112,mp_cryobaffle_capture_CH4 (Cryobaffle capture probability for CH4),ASSUMED / NO DIRECT MEASUREMENT,Reduced-order multiphysics input; affects forecast metrics feeding gate CRYOBAFFLE_CAPTURE_CHECK,CRYOBAFFLE_CAPTURE_CHECK,Measure baffle capture efficiency at temperature,Measurement required before this parameter can carry a non-forecast status; no fabricated value used.
G113,mp_pump_sink (Pump removal rate near the sink region),ASSUMED / NO DIRECT MEASUREMENT,Reduced-order multiphysics input; affects forecast metrics feeding gate GAS_TRANSPORT_STABILITY_CHECK,GAS_TRANSPORT_STABILITY_CHECK,Measure effective pumping speed,Measurement required before this parameter can carry a non-forecast status; no fabricated value used.
G114,mp_stick_CH4 (Sticking coefficient of CH4 on the cold surface),ASSUMED / NO DIRECT MEASUREMENT,Reduced-order multiphysics input; affects forecast metrics feeding gate SURFACE_COVERAGE_DECAY_CHECK,SURFACE_COVERAGE_DECAY_CHECK,Measure sticking coefficient at 10 mK,Measurement required before this parameter can carry a non-forecast status; no fabricated value used.
G115,mp_Edes_CH4 (Desorption energy of CH4 (physisorption scale)),ASSUMED / NO DIRECT MEASUREMENT,Reduced-order multiphysics input; affects forecast metrics feeding gate SURFACE_COVERAGE_DECAY_CHECK,SURFACE_COVERAGE_DECAY_CHECK,Measure desorption energetics (TPD) at the surface,Measurement required before this parameter can carry a non-forecast status; no fabricated value used.
G116,mp_Edes_He4 (Desorption energy of He4),ASSUMED / NO DIRECT MEASUREMENT,Reduced-order multiphysics input; affects forecast metrics feeding gate RESIDUAL_SPECIES_MODE_D_CHECK,RESIDUAL_SPECIES_MODE_D_CHECK,Measure He desorption energetics,Measurement required before this parameter can carry a non-forecast status; no fabricated value used.
G117,mp_rad_epsilon_eff (Effective emissivity for the radiation cascade),ASSUMED / NO DIRECT MEASUREMENT,Reduced-order multiphysics input; affects forecast metrics feeding gate RADIATION_VIEWFACTOR_CHECK,RADIATION_VIEWFACTOR_CHECK,Measure radiative load with shutter/baffle engaged,Measurement required before this parameter can carry a non-forecast status; no fabricated value used.
G118,mp_rad_view_factor (View factor for the staged radiation cascade),ASSUMED / NO DIRECT MEASUREMENT,Reduced-order multiphysics input; affects forecast metrics feeding gate RADIATION_VIEWFACTOR_CHECK,RADIATION_VIEWFACTOR_CHECK,Measure geometric view factors,Measurement required before this parameter can carry a non-forecast status; no fabricated value used.
G119,mp_vib_Q (Vibration settling quality factor),ASSUMED / NO DIRECT MEASUREMENT,Reduced-order multiphysics input; affects forecast metrics feeding gate VIBRATION_TRANSFER_CHECK,VIBRATION_TRANSFER_CHECK,Measure vibration spectrum/settling at the sample mount,Measurement required before this parameter can carry a non-forecast status; no fabricated value used.
