path,disposition,phase,rationale,evidence
integrated_layers_summary.json,RETIRE_TO_HISTORY,5,"QTA hardware-ontology output (machine FSM / interlocks / gate table / apparatus design registry / validation-experiment ranking / mode-sequenced eligibility). Directive s4 retires these as framework authority; the file stays byte-gated until Phase 5 removes its producer, then moves to history.",in hdf5_output_mapping.json regeneration set
interface_map.csv,RETIRE_TO_HISTORY,5,Physical interface map.,
interlock_table.csv,RETIRE_TO_HISTORY,5,"QTA hardware-ontology output (machine FSM / interlocks / gate table / apparatus design registry / validation-experiment ranking / mode-sequenced eligibility). Directive s4 retires these as framework authority; the file stays byte-gated until Phase 5 removes its producer, then moves to history.",in hdf5_output_mapping.json regeneration set
kill_gate_ranking.csv,RETIRE_TO_HISTORY,5,Gate kill ranking.,
laser_3d_deposition_summary.json,DELETE_GENERATED_AND_REBUILD,6-7,Model output of the QTA pipeline (qta_full_sim.py -> outputs/ -> root). Old output contract; rebuilt from ScientificModel runs by the generic workflow (Phases 6-7). Byte-gated and untouched until then (directive s25 Phase 0 rule 3).,in hdf5_output_mapping.json regeneration set
lumped_vs_nonlumped_comparison.csv,DELETE_GENERATED_AND_REBUILD,6-7,Model output of the QTA pipeline (qta_full_sim.py -> outputs/ -> root). Old output contract; rebuilt from ScientificModel runs by the generic workflow (Phases 6-7). Byte-gated and untouched until then (directive s25 Phase 0 rule 3).,in hdf5_output_mapping.json regeneration set
machine_fsm_campaign_trace.csv,RETIRE_TO_HISTORY,5,"QTA hardware-ontology output (machine FSM / interlocks / gate table / apparatus design registry / validation-experiment ranking / mode-sequenced eligibility). Directive s4 retires these as framework authority; the file stays byte-gated until Phase 5 removes its producer, then moves to history.",in hdf5_output_mapping.json regeneration set
machine_fsm_diagram.mmd,RETIRE_TO_HISTORY,5,"QTA hardware-ontology output (machine FSM / interlocks / gate table / apparatus design registry / validation-experiment ranking / mode-sequenced eligibility). Directive s4 retires these as framework authority; the file stays byte-gated until Phase 5 removes its producer, then moves to history.",in hdf5_output_mapping.json regeneration set
machine_fsm_interlocks.csv,RETIRE_TO_HISTORY,5,"QTA hardware-ontology output (machine FSM / interlocks / gate table / apparatus design registry / validation-experiment ranking / mode-sequenced eligibility). Directive s4 retires these as framework authority; the file stays byte-gated until Phase 5 removes its producer, then moves to history.",in hdf5_output_mapping.json regeneration set
machine_fsm_lifecycle_trace.csv,RETIRE_TO_HISTORY,5,"QTA hardware-ontology output (machine FSM / interlocks / gate table / apparatus design registry / validation-experiment ranking / mode-sequenced eligibility). Directive s4 retires these as framework authority; the file stays byte-gated until Phase 5 removes its producer, then moves to history.",in hdf5_output_mapping.json regeneration set
machine_fsm_states.csv,RETIRE_TO_HISTORY,5,"QTA hardware-ontology output (machine FSM / interlocks / gate table / apparatus design registry / validation-experiment ranking / mode-sequenced eligibility). Directive s4 retires these as framework authority; the file stays byte-gated until Phase 5 removes its producer, then moves to history.",in hdf5_output_mapping.json regeneration set
machine_fsm_summary.json,RETIRE_TO_HISTORY,5,"QTA hardware-ontology output (machine FSM / interlocks / gate table / apparatus design registry / validation-experiment ranking / mode-sequenced eligibility). Directive s4 retires these as framework authority; the file stays byte-gated until Phase 5 removes its producer, then moves to history.",in hdf5_output_mapping.json regeneration set
machine_fsm_transitions.csv,RETIRE_TO_HISTORY,5,"QTA hardware-ontology output (machine FSM / interlocks / gate table / apparatus design registry / validation-experiment ranking / mode-sequenced eligibility). Directive s4 retires these as framework authority; the file stays byte-gated until Phase 5 removes its producer, then moves to history.",in hdf5_output_mapping.json regeneration set
manifest_hash.txt,REGENERATE,every change; new set in 7,Regenerated by generate_manifest.py.,
manuscript_consistency_check.py,RETIRE_TO_HISTORY,5,QTA manuscript consistency is not a release requirement (directive s4).,docstring
matrix_update_examples/invalid_automatic_application.json,RETIRE_TO_HISTORY,5,Validation-matrix update examples.,
matrix_update_examples/invalid_missing_evidence.json,RETIRE_TO_HISTORY,5,Validation-matrix update examples.,
matrix_update_examples/invalid_missing_review.json,RETIRE_TO_HISTORY,5,Validation-matrix update examples.,
matrix_update_examples/invalid_unknown_experiment.json,RETIRE_TO_HISTORY,5,Validation-matrix update examples.,
matrix_update_examples/valid_example.json,RETIRE_TO_HISTORY,5,Validation-matrix update examples.,
measured_parameters.json,KEEP_AS_MODEL_PLUGIN,4,Literature/manufacturer-spec constants for the reference plugins (none measured here).,_note field
measurement_comparison_3d.json,DELETE_GENERATED_AND_REBUILD,6-7,Model output of the QTA pipeline (qta_full_sim.py -> outputs/ -> root). Old output contract; rebuilt from ScientificModel runs by the generic workflow (Phases 6-7). Byte-gated and untouched until then (directive s25 Phase 0 rule 3).,in hdf5_output_mapping.json regeneration set
measurement_comparison_rows.csv,DELETE_GENERATED_AND_REBUILD,6-7,Model output of the QTA pipeline (qta_full_sim.py -> outputs/ -> root). Old output contract; rebuilt from ScientificModel runs by the generic workflow (Phases 6-7). Byte-gated and untouched until then (directive s25 Phase 0 rule 3).,in hdf5_output_mapping.json regeneration set
mesh_3d_summary.json,DELETE_GENERATED_AND_REBUILD,6-7,Model output of the QTA pipeline (qta_full_sim.py -> outputs/ -> root). Old output contract; rebuilt from ScientificModel runs by the generic workflow (Phases 6-7). Byte-gated and untouched until then (directive s25 Phase 0 rule 3).,in hdf5_output_mapping.json regeneration set
mesh_convergence_summary.csv,DELETE_GENERATED_AND_REBUILD,6-7,Model output of the QTA pipeline (qta_full_sim.py -> outputs/ -> root). Old output contract; rebuilt from ScientificModel runs by the generic workflow (Phases 6-7). Byte-gated and untouched until then (directive s25 Phase 0 rule 3).,in hdf5_output_mapping.json regeneration set
microwave_heating_3d_budget.csv,DELETE_GENERATED_AND_REBUILD,6-7,Model output of the QTA pipeline (qta_full_sim.py -> outputs/ -> root). Old output contract; rebuilt from ScientificModel runs by the generic workflow (Phases 6-7). Byte-gated and untouched until then (directive s25 Phase 0 rule 3).,in hdf5_output_mapping.json regeneration set
microwave_heating_metrics.csv,DELETE_GENERATED_AND_REBUILD,6-7,Model output of the QTA pipeline (qta_full_sim.py -> outputs/ -> root). Old output contract; rebuilt from ScientificModel runs by the generic workflow (Phases 6-7). Byte-gated and untouched until then (directive s25 Phase 0 rule 3).,in hdf5_output_mapping.json regeneration set
microwave_heating_profile.csv,DELETE_GENERATED_AND_REBUILD,6-7,Model output of the QTA pipeline (qta_full_sim.py -> outputs/ -> root). Old output contract; rebuilt from ScientificModel runs by the generic workflow (Phases 6-7). Byte-gated and untouched until then (directive s25 Phase 0 rule 3).,in hdf5_output_mapping.json regeneration set
mode_recovery_3d_timeline.csv,RETIRE_TO_HISTORY,5,"QTA hardware-ontology output (machine FSM / interlocks / gate table / apparatus design registry / validation-experiment ranking / mode-sequenced eligibility). Directive s4 retires these as framework authority; the file stays byte-gated until Phase 5 removes its producer, then moves to history.",in hdf5_output_mapping.json regeneration set
mode_transition_acceptance_tests.csv,RETIRE_TO_HISTORY,5,Mode-transition acceptance tests.,
monte_carlo_gate_failure_rates.csv,RETIRE_TO_HISTORY,5,Gate failure rates: gate contract retires; failed-sample concept survives in the generic UQ engine.,directive s12
monte_carlo_parameter_registry.csv,REWRITE_GENERIC,2-7 (see rationale),"Parameter distributions: concept kept, re-expressed as ScientificModel parameter schema (directive s12).",
monte_carlo_sensitivity_rankings.csv,DELETE_GENERATED_AND_REBUILD,6-7,QTA-specific MC output contract (directive s12).,
monte_carlo_summary.csv,DELETE_GENERATED_AND_REBUILD,6-7,Model output of the QTA pipeline (qta_full_sim.py -> outputs/ -> root). Old output contract; rebuilt from ScientificModel runs by the generic workflow (Phases 6-7). Byte-gated and untouched until then (directive s25 Phase 0 rule 3).,in hdf5_output_mapping.json regeneration set
multiphysics_summary.json,DELETE_GENERATED_AND_REBUILD,6-7,Model output of the QTA pipeline (qta_full_sim.py -> outputs/ -> root). Old output contract; rebuilt from ScientificModel runs by the generic workflow (Phases 6-7). Byte-gated and untouched until then (directive s25 Phase 0 rule 3).,in hdf5_output_mapping.json regeneration set
multiphysics_verification_summary.csv,DELETE_GENERATED_AND_REBUILD,6-7,Model output of the QTA pipeline (qta_full_sim.py -> outputs/ -> root). Old output contract; rebuilt from ScientificModel runs by the generic workflow (Phases 6-7). Byte-gated and untouched until then (directive s25 Phase 0 rule 3).,in hdf5_output_mapping.json regeneration set
numerical_stability_summary.csv,DELETE_GENERATED_AND_REBUILD,6-7,Model output of the QTA pipeline (qta_full_sim.py -> outputs/ -> root). Old output contract; rebuilt from ScientificModel runs by the generic workflow (Phases 6-7). Byte-gated and untouched until then (directive s25 Phase 0 rule 3).,in hdf5_output_mapping.json regeneration set
nv_coherence_curves.csv,DELETE_GENERATED_AND_REBUILD,6-7,Model output of the QTA pipeline (qta_full_sim.py -> outputs/ -> root). Old output contract; rebuilt from ScientificModel runs by the generic workflow (Phases 6-7). Byte-gated and untouched until then (directive s25 Phase 0 rule 3).,in hdf5_output_mapping.json regeneration set
nv_eligibility_3d.json,RETIRE_TO_HISTORY,5,"QTA hardware-ontology output (machine FSM / interlocks / gate table / apparatus design registry / validation-experiment ranking / mode-sequenced eligibility). Directive s4 retires these as framework authority; the file stays byte-gated until Phase 5 removes its producer, then moves to history.",in hdf5_output_mapping.json regeneration set
nv_odmr_spectrum.csv,DELETE_GENERATED_AND_REBUILD,6-7,Model output of the QTA pipeline (qta_full_sim.py -> outputs/ -> root). Old output contract; rebuilt from ScientificModel runs by the generic workflow (Phases 6-7). Byte-gated and untouched until then (directive s25 Phase 0 rule 3).,in hdf5_output_mapping.json regeneration set
nv_sequence_contrast.csv,DELETE_GENERATED_AND_REBUILD,6-7,Model output of the QTA pipeline (qta_full_sim.py -> outputs/ -> root). Old output contract; rebuilt from ScientificModel runs by the generic workflow (Phases 6-7). Byte-gated and untouched until then (directive s25 Phase 0 rule 3).,in hdf5_output_mapping.json regeneration set
nv_spin_dynamics_summary.json,DELETE_GENERATED_AND_REBUILD,6-7,Model output of the QTA pipeline (qta_full_sim.py -> outputs/ -> root). Old output contract; rebuilt from ScientificModel runs by the generic workflow (Phases 6-7). Byte-gated and untouched until then (directive s25 Phase 0 rule 3).,in hdf5_output_mapping.json regeneration set
nv_spin_gate_records.csv,RETIRE_TO_HISTORY,5,"QTA hardware-ontology output (machine FSM / interlocks / gate table / apparatus design registry / validation-experiment ranking / mode-sequenced eligibility). Directive s4 retires these as framework authority; the file stays byte-gated until Phase 5 removes its producer, then moves to history.",in hdf5_output_mapping.json regeneration set
nv_spin_parameter_provenance.json,DELETE_GENERATED_AND_REBUILD,6-7,Model output of the QTA pipeline (qta_full_sim.py -> outputs/ -> root). Old output contract; rebuilt from ScientificModel runs by the generic workflow (Phases 6-7). Byte-gated and untouched until then (directive s25 Phase 0 rule 3).,in hdf5_output_mapping.json regeneration set
optical_absorption_2d_slices.csv,DELETE_GENERATED_AND_REBUILD,6-7,Model output of the QTA pipeline (qta_full_sim.py -> outputs/ -> root). Old output contract; rebuilt from ScientificModel runs by the generic workflow (Phases 6-7). Byte-gated and untouched until then (directive s25 Phase 0 rule 3).,in hdf5_output_mapping.json regeneration set
optical_absorption_metrics.csv,DELETE_GENERATED_AND_REBUILD,6-7,Model output of the QTA pipeline (qta_full_sim.py -> outputs/ -> root). Old output contract; rebuilt from ScientificModel runs by the generic workflow (Phases 6-7). Byte-gated and untouched until then (directive s25 Phase 0 rule 3).,in hdf5_output_mapping.json regeneration set
optical_absorption_profile.csv,DELETE_GENERATED_AND_REBUILD,6-7,Model output of the QTA pipeline (qta_full_sim.py -> outputs/ -> root). Old output contract; rebuilt from ScientificModel runs by the generic workflow (Phases 6-7). Byte-gated and untouched until then (directive s25 Phase 0 rule 3).,in hdf5_output_mapping.json regeneration set
optical_line_of_sight_audit.csv,RETIRE_TO_HISTORY,5,Apparatus line-of-sight audit.,
package_consistency_check.py,REWRITE_GENERIC,2-7 (see rationale),Independent regeneration verifier. Byte-regeneration and fail-closed structure are kept; the 83-gate/PASS=0/BOM/manuscript checks retire (directive s4).,"106 Mode-letter, 69 gate, 38 BOM, 28 measured-flag hits"
parameter_registry.csv,DELETE_GENERATED_AND_REBUILD,6-7,Model output of the QTA pipeline (qta_full_sim.py -> outputs/ -> root). Old output contract; rebuilt from ScientificModel runs by the generic workflow (Phases 6-7). Byte-gated and untouched until then (directive s25 Phase 0 rule 3).,in hdf5_output_mapping.json regeneration set
provenance_3d.json,DELETE_GENERATED_AND_REBUILD,6-7,Model output of the QTA pipeline (qta_full_sim.py -> outputs/ -> root). Old output contract; rebuilt from ScientificModel runs by the generic workflow (Phases 6-7). Byte-gated and untouched until then (directive s25 Phase 0 rule 3).,in hdf5_output_mapping.json regeneration set
pyproject.toml,KEEP_AND_HARDEN,1 (this tranche) / ongoing,"Declare PyYAML (imported directly by two test modules, today only transitive via snakemake).",uv tree
qta_agent/__init__.py,KEEP_AS_IS,-,Generic governed-agent substrate (actions/authority/canonical/evidence/execution/hostid/invalidation/readpath/safeio/separate_verify/tasks/tools). No QTA-hardware import or data reference.,import closure of qta_agent reaches no hardware module (p0/reach.json)
qta_agent/_stage10_index_tool.py,REWRITE_GENERIC,2-7 (see rationale),Second governed tool (digest index); generalize with governed_stage10 in Phase 2.,docstring names results_gate_table.csv as a possible input
qta_agent/_stage10_tool.py,REWRITE_GENERIC,2-7 (see rationale),Subprocess entry for governed Stage-10 artefact emission; becomes the generic governed model-run tool in Phase 2.,paired with governed_stage10.py
qta_agent/actions.py,KEEP_AS_IS,-,Generic governed-agent substrate (actions/authority/canonical/evidence/execution/hostid/invalidation/readpath/safeio/separate_verify/tasks/tools). No QTA-hardware import or data reference.,import closure of qta_agent reaches no hardware module (p0/reach.json)
qta_agent/agents.py,KEEP_AND_HARDEN,1 (this tranche) / ongoing,Phase 1.1: load() folds only the verified snapshot.,verify-then-read at load
qta_agent/audit.py,KEEP_AND_HARDEN,1 (this tranche) / ongoing,Phase 1.1: from_log() indexes only the verified snapshot.,verify-then-read (two further reads)
qta_agent/authority.py,KEEP_AS_IS,-,Generic governed-agent substrate (actions/authority/canonical/evidence/execution/hostid/invalidation/readpath/safeio/separate_verify/tasks/tools). No QTA-hardware import or data reference.,import closure of qta_agent reaches no hardware module (p0/reach.json)
qta_agent/canonical.py,KEEP_AS_IS,-,Generic governed-agent substrate (actions/authority/canonical/evidence/execution/hostid/invalidation/readpath/safeio/separate_verify/tasks/tools). No QTA-hardware import or data reference.,import closure of qta_agent reaches no hardware module (p0/reach.json)
qta_agent/capability.py,KEEP_AND_HARDEN,1 (this tranche) / ongoing,Phase 1.1: load() folds only the verified snapshot.,verify-then-read at load
qta_agent/checkpoint.py,KEEP_AND_HARDEN,1 (this tranche) / ongoing,Log-position checkpoint; verify_with now returns the verified tail it checked.,defect: load_from re-read the tail verify_with checked
qta_agent/context.py,KEEP_AND_HARDEN,1 (this tranche) / ongoing,Phase 1.2: summary provenance bound to real source bytes.,defect: phantom summarizes_item + fabricated omission
qta_agent/events.py,KEEP_AND_HARDEN,1 (this tranche) / ongoing,"Canonical event log. Phase 1.1: single-pass verified tail (advance, read_verified_from); read_verified returns only the verified prefix.",defect: advance() verified one read and returned a second
qta_agent/evidence.py,KEEP_AS_IS,-,Generic governed-agent substrate (actions/authority/canonical/evidence/execution/hostid/invalidation/readpath/safeio/separate_verify/tasks/tools). No QTA-hardware import or data reference.,import closure of qta_agent reaches no hardware module (p0/reach.json)
qta_agent/execution.py,KEEP_AS_IS,-,Generic governed-agent substrate (actions/authority/canonical/evidence/execution/hostid/invalidation/readpath/safeio/separate_verify/tasks/tools). No QTA-hardware import or data reference.,import closure of qta_agent reaches no hardware module (p0/reach.json)
qta_agent/governed_stage10.py,REWRITE_GENERIC,2-7 (see rationale),The only production consumer of the substrate; bound to the 'Stage-10' QTA stack artefacts. Phase 2 generalizes it into governed ScientificModel runs (typed request -> ResultBundle -> evidence). Hardened in Phase 1: three unverified log reads now go through one verified pass.,imports qta_multiphysics.stack.workspace; docstring: 'a real Stage-10 run'
qta_agent/hostid.py,KEEP_AS_IS,-,Generic governed-agent substrate (actions/authority/canonical/evidence/execution/hostid/invalidation/readpath/safeio/separate_verify/tasks/tools). No QTA-hardware import or data reference.,import closure of qta_agent reaches no hardware module (p0/reach.json)
qta_agent/idempotency.py,KEEP_AND_HARDEN,1 (this tranche) / ongoing,Phase 1.1: load() folds only the verified snapshot.,verify-then-read at load
qta_agent/invalidation.py,KEEP_AS_IS,-,Generic governed-agent substrate (actions/authority/canonical/evidence/execution/hostid/invalidation/readpath/safeio/separate_verify/tasks/tools). No QTA-hardware import or data reference.,import closure of qta_agent reaches no hardware module (p0/reach.json)
qta_agent/memory.py,KEEP_AND_HARDEN,1 (this tranche) / ongoing,Phase 1.1: load() folds only the verified snapshot.,verify-then-read at load
qta_agent/netauth.py,KEEP_AND_HARDEN,1 (this tranche) / ongoing,Phase 1.1: load() folds only the verified snapshot.,verify-then-read at load
qta_agent/policy.py,KEEP_AND_HARDEN,1 (this tranche) / ongoing,Phase 1.1: load() folds only the verified snapshot.,verify-then-read at load
qta_agent/projection.py,KEEP_AND_HARDEN,1 (this tranche) / ongoing,"NEW in Phase 1.4: reducer identity (projection_kind, reducer_id/version/digest, schema version).",directive s8 invariant
qta_agent/readpath.py,KEEP_AS_IS,-,Generic governed-agent substrate (actions/authority/canonical/evidence/execution/hostid/invalidation/readpath/safeio/separate_verify/tasks/tools). No QTA-hardware import or data reference.,import closure of qta_agent reaches no hardware module (p0/reach.json)
qta_agent/reconstruct.py,KEEP_AND_HARDEN,1 (this tranche) / ongoing,Independent second reader. Phase 1.1: replays the verified snapshot whose head it reports.,verify-then-read in 3 reconstructors
qta_agent/safeio.py,KEEP_AS_IS,-,Generic governed-agent substrate (actions/authority/canonical/evidence/execution/hostid/invalidation/readpath/safeio/separate_verify/tasks/tools). No QTA-hardware import or data reference.,import closure of qta_agent reaches no hardware module (p0/reach.json)
qta_agent/scheduler.py,KEEP_AND_HARDEN,1 (this tranche) / ongoing,Job FSM. Phase 1.1: load/_fold_new on the verified snapshot.,verify-then-read at load + fallback fold
qta_agent/secrets.py,KEEP_AND_HARDEN,1 (this tranche) / ongoing,Phase 1.1: load() folds only the verified snapshot.,verify-then-read at load
qta_agent/separate_verify.py,KEEP_AS_IS,-,Generic governed-agent substrate (actions/authority/canonical/evidence/execution/hostid/invalidation/readpath/safeio/separate_verify/tasks/tools). No QTA-hardware import or data reference.,import closure of qta_agent reaches no hardware module (p0/reach.json)
qta_agent/store.py,KEEP_AND_HARDEN,1 (this tranche) / ongoing,Authority projection. Phase 1.1 (load/_fold_new/load_from on one verified snapshot) + 1.4 (reducer identity bound into snapshots).,"defect: verify-then-read at load, _fold_new, load_from"
qta_agent/tasks.py,KEEP_AS_IS,-,Generic governed-agent substrate (actions/authority/canonical/evidence/execution/hostid/invalidation/readpath/safeio/separate_verify/tasks/tools). No QTA-hardware import or data reference.,import closure of qta_agent reaches no hardware module (p0/reach.json)
qta_agent/tools.py,KEEP_AS_IS,-,Generic governed-agent substrate (actions/authority/canonical/evidence/execution/hostid/invalidation/readpath/safeio/separate_verify/tasks/tools). No QTA-hardware import or data reference.,import closure of qta_agent reaches no hardware module (p0/reach.json)
qta_full_sim.py,RETIRE_TO_HISTORY,5,"Monolithic QTA orchestrator + gate table + machine interlocks (IL-01..IL-10). Not rewritten: first mine it -- extract any scientifically unique equation into the generic or model module it belongs to, each with a regression test pinning today's numbers -- and only then retire the orchestrator to history once the generic workflow (Phase 6) replaces it. Not deleted before that. Interlock asserts made explicit in Phase 1.3.","168 Mode-letter hits; 0 asserts (15 at the baseline, D-2026-73)"
qta_manuscript_v4.pdf,RETIRE_TO_HISTORY,5,QTA manuscript.,
qta_manuscript_v4.tex,RETIRE_TO_HISTORY,5,QTA manuscript.,
qta_multiphysics/__init__.py,REWRITE_GENERIC,2-7 (see rationale),Package entry exporting run_all (QTA orchestration). Becomes a plugin index.,exports runner.run_all
qta_multiphysics/boundaries_3d.py,KEEP_AS_MODEL_PLUGIN,4,Boundary physics for the 3D thermal model.,model family: thermal
qta_multiphysics/campaign_state_3d.py,REWRITE_GENERIC,2-7 (see rationale),Adaptive-campaign carried state; walks the machine FSM. Rewrite over the task/scheduler FSMs. Holds deferred D-2026-69 (energy-ledger summation floor).,imports machine_fsm path via runner_3d; 19 Mode-letter hits
qta_multiphysics/campaign_uncertainty_3d.py,REWRITE_GENERIC,2-7 (see rationale),Campaign-level UQ; generic engine over ScientificModel (directive s12).,Mode-letter + measured flag
qta_multiphysics/config.py,REWRITE_GENERIC,2-7 (see rationale),"Validate-on-construction SI config is generic; defaults are the QTA apparatus (10 mK fridge, fs laser, diamond NV). Split generic schema from the QTA reference parameter set.",docstring
qta_multiphysics/convergence_3d.py,EXTRACT_GENERIC,3,Convergence analysis.,directive s3A
qta_multiphysics/coupled_mode_solver.py,REWRITE_GENERIC,2-7 (see rationale),Sequenced multi-phase coupled solve with state hand-off (generic) hard-wired to Mode B->C->D. Rewrite as a declared phase schedule over plugins.,23 Mode-letter hits
qta_multiphysics/coupling_ledger_3d.py,REWRITE_GENERIC,2-7 (see rationale),"Coupling-arrow ledger with honesty statuses: generic concept, QTA channel list.",20 Mode-letter hits
qta_multiphysics/cryo_stack_3d.py,RETIRE_TO_HISTORY,5,"Registry of the QTA cryogenic architecture; its numeric loads are REUSED from radiation_paths (plugin), so no physics is lost. Verify no unique equation before retirement.",docstring: 'loads are REUSED from the existing canonical modules'
qta_multiphysics/cryopanel_dynamics_3d.py,KEEP_AS_MODEL_PLUGIN,4,Cryopanel adsorption inventory: generic cryogenic physics; B->C->D phase windows to decouple in Phase 4.,8 Mode-letter hits
qta_multiphysics/deep_expdesign/__init__.py,REWRITE_GENERIC,2-7 (see rationale),Package docstring binds the layer to QTA.,docstring
qta_multiphysics/deep_expdesign/calibration.py,EXTRACT_GENERIC,3,"Generic SBI/UQ machinery (calibration, inference, posterior model, transforms, OOD, trainer, EIG surrogate, dataset, validation, config, io).",directive s14 list
qta_multiphysics/deep_expdesign/config.py,EXTRACT_GENERIC,3,"Generic SBI/UQ machinery (calibration, inference, posterior model, transforms, OOD, trainer, EIG surrogate, dataset, validation, config, io).",directive s14 list
qta_multiphysics/deep_expdesign/dataset.py,EXTRACT_GENERIC,3,"Generic SBI/UQ machinery (calibration, inference, posterior model, transforms, OOD, trainer, EIG surrogate, dataset, validation, config, io).",directive s14 list
qta_multiphysics/deep_expdesign/design_space.py,REWRITE_GENERIC,2-7 (see rationale),Design space built from EXP-A..F + machine FSM constraints; imports qta_multiphysics.design (retired).,import path to design.registry (reach.json)
qta_multiphysics/deep_expdesign/eig_surrogate.py,EXTRACT_GENERIC,3,"Generic SBI/UQ machinery (calibration, inference, posterior model, transforms, OOD, trainer, EIG surrogate, dataset, validation, config, io).",directive s14 list
qta_multiphysics/deep_expdesign/inference.py,EXTRACT_GENERIC,3,"Generic SBI/UQ machinery (calibration, inference, posterior model, transforms, OOD, trainer, EIG surrogate, dataset, validation, config, io).",directive s14 list
qta_multiphysics/deep_expdesign/io.py,EXTRACT_GENERIC,3,"Generic SBI/UQ machinery (calibration, inference, posterior model, transforms, OOD, trainer, EIG surrogate, dataset, validation, config, io).",directive s14 list
qta_multiphysics/deep_expdesign/likelihood_model.py,REWRITE_GENERIC,2-7 (see rationale),Mode-D sensing design distribution baked into the generative model.,3 Mode-letter hits
qta_multiphysics/deep_expdesign/ood.py,EXTRACT_GENERIC,3,"Generic SBI/UQ machinery (calibration, inference, posterior model, transforms, OOD, trainer, EIG surrogate, dataset, validation, config, io).",directive s14 list
qta_multiphysics/deep_expdesign/parameter_space.py,REWRITE_GENERIC,2-7 (see rationale),Latent space assembled from QTA registries (directive s14).,docstring
qta_multiphysics/deep_expdesign/policy.py,REWRITE_GENERIC,2-7 (see rationale),Adaptive policy combines EIG with QTA gate criticality.,docstring
qta_multiphysics/deep_expdesign/posterior_model.py,EXTRACT_GENERIC,3,"Generic SBI/UQ machinery (calibration, inference, posterior model, transforms, OOD, trainer, EIG surrogate, dataset, validation, config, io).",directive s14 list
qta_multiphysics/deep_expdesign/readiness.py,REWRITE_GENERIC,2-7 (see rationale),Fail-closed readiness FSM is generic; stamps measured_in_this_system.,1 measured flag
qta_multiphysics/deep_expdesign/runner.py,REWRITE_GENERIC,2-7 (see rationale),QTA deep-layer orchestrator.,machine FSM mentions
qta_multiphysics/deep_expdesign/schemas.py,REWRITE_GENERIC,2-7 (see rationale),Typed schemas are generic; carry QTA claim-boundary fields.,4 measured flags
qta_multiphysics/deep_expdesign/simulator_adapter.py,REWRITE_GENERIC,2-7 (see rationale),Adapter around QTA forward models -> generic ScientificModel adapter (directive s14).,docstring
qta_multiphysics/deep_expdesign/trainer.py,EXTRACT_GENERIC,3,"Generic SBI/UQ machinery (calibration, inference, posterior model, transforms, OOD, trainer, EIG surrogate, dataset, validation, config, io).",directive s14 list
qta_multiphysics/deep_expdesign/transforms.py,EXTRACT_GENERIC,3,"Generic SBI/UQ machinery (calibration, inference, posterior model, transforms, OOD, trainer, EIG surrogate, dataset, validation, config, io).",directive s14 list
qta_multiphysics/deep_expdesign/validation.py,EXTRACT_GENERIC,3,"Generic SBI/UQ machinery (calibration, inference, posterior model, transforms, OOD, trainer, EIG surrogate, dataset, validation, config, io).",directive s14 list
qta_multiphysics/design/__init__.py,RETIRE_TO_HISTORY,5,Physical component design registry / interface graph / decision ledger; reads BOM.csv and interlock_table.csv.,directive s4; reached from deep_expdesign.design_space (see DEPENDENCY_CUTOVER.md)
qta_multiphysics/design/registry.py,RETIRE_TO_HISTORY,5,Physical component design registry / interface graph / decision ledger; reads BOM.csv and interlock_table.csv.,directive s4; reached from deep_expdesign.design_space (see DEPENDENCY_CUTOVER.md)
qta_multiphysics/design/validation.py,RETIRE_TO_HISTORY,5,Physical component design registry / interface graph / decision ledger; reads BOM.csv and interlock_table.csv.,directive s4; reached from deep_expdesign.design_space (see DEPENDENCY_CUTOVER.md)
qta_multiphysics/energy_accounting_3d.py,EXTRACT_GENERIC,3,Energy-conservation accounting.,directive s3A
qta_multiphysics/expdesign/__init__.py,REWRITE_GENERIC,2-7 (see rationale),Package docstring binds the engine to QTA candidate experiments.,docstring
qta_multiphysics/expdesign/engine.py,EXTRACT_GENERIC,3,Direct nested-MC EIG engine.,directive s14
qta_multiphysics/expdesign/model.py,REWRITE_GENERIC,2-7 (see rationale),Parses FIRST_VALIDATION_EXPERIMENTS.md + kill_gate_ranking.csv; rewrite over Observation/ScientificModel.,names kill_gate_ranking.csv
qta_multiphysics/expdesign/runner.py,REWRITE_GENERIC,2-7 (see rationale),Writes QTA validation-experiment rankings.,names validation_experiment_ranking.csv
qta_multiphysics/exports.py,EXTRACT_GENERIC,3,Deterministic CSV/JSON export helpers.,directive s3A
qta_multiphysics/falsification_3d.py,REWRITE_GENERIC,2-7 (see rationale),"Falsification conditions: generic concept, QTA canonical bounds.",11 Mode-letter hits
qta_multiphysics/fields.py,EXTRACT_GENERIC,3,Generic field containers.,directive s3A
qta_multiphysics/future_3d.py,RETIRE_TO_HISTORY,5,Status module for the QTA 3D layer.,docstring
qta_multiphysics/gas_transport_1d.py,KEEP_AS_MODEL_PLUGIN,4,Gas transport 1D (Mode-letter phase labels to remove in Phase 4).,model family: gas transport; 5 Mode-letter hits
qta_multiphysics/gas_transport_2d.py,KEEP_AS_MODEL_PLUGIN,4,Molecular-beam exposure map (reduced model).,model family: gas transport
qta_multiphysics/grids.py,EXTRACT_GENERIC,3,Generic structured grids.,directive s3A
qta_multiphysics/hardware_governance_3d.py,RETIRE_TO_HISTORY,5,Physical hardware governance / reviewer registry.,directive s4
